key,item,name,categories
h_4dPV9M9aYaBliH1Eoeeg,0.309566,Wvrst,"Nightlife, Pubs, Bars, Restaurants, Canadian (New), German, Beer Bar"
JG9UpsFR6hrqQqsKh_RyaQ,0.309052,Planta,"Salad, Restaurants, Bars, Vegan, Nightlife, Tapas/Small Plates, Pizza, Vegetarian, Cocktail Bars"
U4iqELk1IiqARpk5uJJOZg,0.30882,Eva's Original Chimneys,"Desserts, Food Stands, Ice Cream & Frozen Yogurt, Cafes, Food, Street Vendors, Bakeries, Restaurants, Food Trucks, Specialty Food"
Qmwfg-PtYuCo5Q_IwcA_HQ,0.308355,JaBistro,"Japanese, Sushi Bars, Restaurants"
35SEr0cPTuoBJ1DYQ686pA,0.307938,Katsuya,"Japanese, Restaurants, Asian Fusion"
73_UT7fZ7mzXcguX8-oSuQ,0.30773,Amsterdam BrewHouse,"Breweries, Food, Nightlife, Restaurants, Burgers, Bars"
OA1o0ixPWw-maEq2CF1Qag,0.30735,Kiin,"Restaurants, Thai"
yY3jNsrpCyKTqQuRuLV8gw,0.307235,Cactus Club Cafe,"Restaurants, Cocktail Bars, Nightlife, Canadian (New), Bars"
N93EYZy9R0sdlEvubu94ig,0.305962,Banh Mi Boys,"Sandwiches, Restaurants, Asian Fusion, Food, Delicatessen, Vietnamese"
_xAJZOKBMPOe47p1MphB2w,0.30578,Fishman Lobster Clubhouse Restaurant,"Chinese, Restaurants, Live/Raw Food, Seafood"
SjgeuBlgKER9yegpoxT99w,0.305484,Nomé Izakaya,"Tapas Bars, Japanese, Restaurants, Lounges, Bars, Nightlife"
Dpl8d6eXq-YnF5zEV1cwMw,0.305336,Poop Cafe,"Cafes, Restaurants, Food, Ice Cream & Frozen Yogurt, Korean, Desserts"
aLcFhMe6DDJ430zelCpd2A,0.305233,Khao San Road,"Thai, Restaurants"
C8_zdU7zGLUK3uC4e5AepQ,0.304961,MeNami,"Japanese, Asian Fusion, Restaurants, Nightlife, Udon, Bars, Korean"
a8pmtlVKf7NiSLI-4KejIw,0.304667,El Catrin Destileria,"Tapas/Small Plates, Mexican, Restaurants"
crstB-H5rOfbXhV8pX0e6g,0.304621,Ramen Isshin,"Ramen, Noodles, Tapas/Small Plates, Food, Japanese, Restaurants"
hDy-uY7Vy_TZdGBzw59lhA,0.304406,Saku Sushi,"Breakfast & Brunch, Sushi Bars, Japanese, Restaurants"
6EVBc9kdc3Hd8KZkLVPnGA,0.304327,Kaiju,"Malaysian, Asian Fusion, Restaurants, Japanese"
UxWH8zRYIBgs6Q2oykvRdw,0.304113,Cluny Bistro & Boulangerie,"Nightlife, Restaurants, Bars, Wine Bars, Cocktail Bars, French"
trKyIRyjKqVSZmcU0AnICQ,0.304102,Pearl Diver,"Chinese, Steakhouses, Seafood, Breakfast & Brunch, Restaurants, Irish, Comfort Food"
Zq9WPT7ZAOYlQ0GV8OQWKQ,0.304045,Cluck Clucks,"Soul Food, Chicken Shop, Restaurants, Comfort Food, Sandwiches"
SGP1jf6k7spXkgwBlhiUVw,0.303876,Kekou Gelato House,"Ice Cream & Frozen Yogurt, Food, Desserts, Cafes, Restaurants"
DE89UdHFMCN6DtYWZuer5A,0.303707,Hokkaido Ramen Santouka,"Japanese, Restaurants, Noodles, Ramen"
zgQHtqX0gqMw1nlBZl2VnQ,0.303483,Momofuku Noodle Bar,"Ramen, Soup, Korean, Japanese, Asian Fusion, American (New), Chinese, Restaurants"
snw9iNNLpFYZeHotW00uVA,0.303269,Lee Restaurant,"Restaurants, Asian Fusion"
XFU7XiXOo7LB3uPLecRlOw,0.302721,Mymy Chicken,"Bars, Korean, Nightlife, Beer Bar, Restaurants, Chicken Wings"
8I5U8OQ06nSxX2y4PPOWzQ,0.302286,Japango,"Restaurants, Sushi Bars"
2i0dDzxLuQQAwzxDZVR-1g,0.302063,Oretta,"Bars, Restaurants, Bakeries, Coffee & Tea, Nightlife, Italian, Food"
