key,item,name,categories
RtUvSWO_UZ8V3Wpj0n077w,0.01733,KINKA IZAKAYA ORIGINAL,"Bars, Restaurants, Japanese, Tapas/Small Plates, Tapas Bars, Nightlife, Pubs"
jc3p5SFyt9qrrMXt6E13ig,0.016157,Tsujiri,"Tea Rooms, Ice Cream & Frozen Yogurt, Food, Desserts"
BYDs_o6U4CLxJec8k1Q90Q,0.015886,Poke Guys,"Poke, Restaurants, Hawaiian, Food, Fast Food"
5m2JukTajxMk-qS5W4s-FA,0.015796,Charidise,"Restaurants, Desserts, Taiwanese, Food, Tea Rooms"
fNc1WuGwiT7RhqXUIe4S8A,0.015796,Sabai Sabai Kitchen and Bar,"Restaurants, Vegan, Tapas/Small Plates, Laotian, Thai"
aLcFhMe6DDJ430zelCpd2A,0.015525,Khao San Road,"Thai, Restaurants"
_xAJZOKBMPOe47p1MphB2w,0.015525,Fishman Lobster Clubhouse Restaurant,"Chinese, Restaurants, Live/Raw Food, Seafood"
Yl2TN9c23ZGLUBSD9ks5Uw,0.015435,Byblos,"Restaurants, Middle Eastern, Mediterranean"
e41TP5cXZqSrz50xCBJqZw,0.015435,Insomnia Restaurant & Lounge,"French, Bars, Caterers, Canadian (New), Breakfast & Brunch, Lounges, Restaurants, Cocktail Bars, International, Mediterranean, Event Planning & Services, Nightlife, Comfort Food"
zgQHtqX0gqMw1nlBZl2VnQ,0.015254,Momofuku Noodle Bar,"Ramen, Soup, Korean, Japanese, Asian Fusion, American (New), Chinese, Restaurants"
N_2yEZ41g9zDW_gWArFiHw,0.014713,Sweet Jesus,"Desserts, Ice Cream & Frozen Yogurt, Food, Coffee & Tea"
f5O7v_X_jCg2itqacRfxhg,0.014622,Sansotei Ramen,"Restaurants, Ramen, Japanese, Noodles"
SjgeuBlgKER9yegpoxT99w,0.014351,Nomé Izakaya,"Tapas Bars, Japanese, Restaurants, Lounges, Bars, Nightlife"
mZRKH9ngRY92bI_irrHq6w,0.014171,Richmond Station,"Canadian (New), Restaurants"
5aeOewSy4RiI8sLLWpeNGA,0.014081,Pablo Cheesetart Canada,"Desserts, Food, Restaurants, Cafes"
yY3jNsrpCyKTqQuRuLV8gw,0.0139,Cactus Club Cafe,"Restaurants, Cocktail Bars, Nightlife, Canadian (New), Bars"
Fx5haZv9PP3E7Ljp-h7B1Q,0.01381,Eggspectation,"Juice Bars & Smoothies, Breakfast & Brunch, Restaurants, Food"
UxWH8zRYIBgs6Q2oykvRdw,0.01372,Cluny Bistro & Boulangerie,"Nightlife, Restaurants, Bars, Wine Bars, Cocktail Bars, French"
h_4dPV9M9aYaBliH1Eoeeg,0.01372,Wvrst,"Nightlife, Pubs, Bars, Restaurants, Canadian (New), German, Beer Bar"
crstB-H5rOfbXhV8pX0e6g,0.013539,Ramen Isshin,"Ramen, Noodles, Tapas/Small Plates, Food, Japanese, Restaurants"
hDy-uY7Vy_TZdGBzw59lhA,0.013359,Saku Sushi,"Breakfast & Brunch, Sushi Bars, Japanese, Restaurants"
35SEr0cPTuoBJ1DYQ686pA,0.013359,Katsuya,"Japanese, Restaurants, Asian Fusion"
73_UT7fZ7mzXcguX8-oSuQ,0.013268,Amsterdam BrewHouse,"Breweries, Food, Nightlife, Restaurants, Burgers, Bars"
pSMK_FtULKiU-iuh7SMKwg,0.012637,Blaze Fast-Fire'd Pizza,"Gluten-Free, Restaurants, Salad, Pizza, Fast Food"
0-k_-9YoWXpmtiaLdKeQJQ,0.012637,The Rec Room,"Sports Bars, Arcades, Restaurants, Canadian (New), Arts & Entertainment, Nightlife, Bars"
a8pmtlVKf7NiSLI-4KejIw,0.012546,El Catrin Destileria,"Tapas/Small Plates, Mexican, Restaurants"
DE89UdHFMCN6DtYWZuer5A,0.012456,Hokkaido Ramen Santouka,"Japanese, Restaurants, Noodles, Ramen"
Qmwfg-PtYuCo5Q_IwcA_HQ,0.012095,JaBistro,"Japanese, Sushi Bars, Restaurants"
OA1o0ixPWw-maEq2CF1Qag,0.012095,Kiin,"Restaurants, Thai"
nBl_4gw5ecGzNkHyzfii8g,0.011914,Terroni,"Restaurants, Italian"
C8_zdU7zGLUK3uC4e5AepQ,0.011824,MeNami,"Japanese, Asian Fusion, Restaurants, Nightlife, Udon, Bars, Korean"
HgL6gGEGoAUBKGrT6BXU4Q,0.011824,Eat Jackpot,"Singaporean, Restaurants, Chinese, Nightlife, Bars, Pan Asian"
G4pt2q9Tr5SkwCw3Wb43VA,0.011734,Snow Time,"Shaved Snow, Korean, Food, Restaurants, Desserts, Ice Cream & Frozen Yogurt"
gOvEzwpu3KbW5aJReQzYRg,0.011734,North Poke,"Seafood Markets, Specialty Food, Hawaiian, Food, Desserts, Fast Food, Restaurants, Poke, Seafood"
oOGLDf2rzeCPS7UQ8hhPlQ,0.011553,SU&BU,"Asian Fusion, Sushi Bars, Mexican, Japanese, Restaurants"
VRwT0pscR5vESCrAnUpNwQ,0.011553,Wilbur Mexicana,"Restaurants, Ethnic Food, Specialty Food, Mexican, Food"
trKyIRyjKqVSZmcU0AnICQ,0.011373,Pearl Diver,"Chinese, Steakhouses, Seafood, Breakfast & Brunch, Restaurants, Irish, Comfort Food"
